,doc,word,freq
1050,14,80,2
1051,14,81,1
1052,14,83,2
1053,14,84,4
1054,14,86,1
1055,14,87,1
1056,14,88,1
1057,14,91,5
1058,14,94,3
1059,14,98,2
1060,14,99,1
1061,14,101,1
1062,14,102,2
1063,14,103,3
1064,14,104,2
1065,14,105,1
1066,14,106,2
1067,14,107,4
1068,14,108,7
1069,14,109,5
1070,14,110,1
1071,14,112,1
1072,14,113,3
1073,14,115,1
1074,14,117,1
1075,14,119,1
1076,14,121,4
1077,14,123,1
1078,14,124,9
1079,14,126,1
1080,14,127,2
1081,14,128,2
1082,14,129,1
1083,14,130,1
1084,14,131,1
1085,14,132,1
1086,14,134,2
1087,14,136,3
1088,14,137,1
1089,14,139,2
1090,14,140,3
1091,14,141,3
1092,14,142,2
1093,14,143,1
1094,14,144,1
1095,15,128,1
1096,15,130,5
1097,15,3,1
1098,15,134,3
1099,15,136,2
1100,15,9,4
1101,15,138,2
1102,15,11,3
1103,15,142,2
1104,15,143,1
1105,15,16,2
1106,15,17,1
1107,15,18,1
1108,15,19,1
1109,15,22,1
1110,15,137,1
1111,15,27,1
1112,15,31,1
1113,15,32,5
1114,15,34,1
1115,15,35,1
1116,15,37,1
1117,15,38,1
1118,15,39,1
1119,15,40,4
1120,15,41,1
1121,15,42,4
1122,15,45,4
1123,15,48,1
1124,15,8,1
1125,15,50,1
1126,15,52,2
1127,15,53,1
1128,15,55,3
1129,15,56,1
1130,15,65,1
1131,15,66,3
1132,15,67,3
1133,15,68,1
1134,15,70,1
1135,15,73,2
1136,15,74,4
1137,15,76,2
1138,15,77,1
1139,15,79,2
1140,15,80,1
1141,15,81,1
1142,15,84,2
1143,15,86,1
1144,15,87,1
1145,15,91,6
1146,15,94,1
1147,15,98,2
1148,15,100,4
1149,15,103,2
1150,15,105,1
1151,15,108,2
1152,15,111,5
1153,15,112,1
1154,15,114,2
1155,15,115,1
1156,15,117,1
1157,15,121,1
1158,15,125,4
1159,15,127,2
1160,16,2,1
1161,16,5,2
1162,16,6,1
1163,16,9,2
1164,16,10,2
1165,16,11,3
1166,16,17,1
1167,16,18,3
1168,16,19,1
1169,16,22,1
1170,16,24,1
1171,16,25,3
1172,16,27,3
1173,16,28,1
1174,16,29,1
1175,16,30,1
1176,16,31,1
1177,16,32,4
1178,16,34,1
1179,16,35,1
1180,16,37,2
1181,16,38,1
1182,16,39,2
1183,16,41,5
1184,16,45,7
1185,16,46,3
1186,16,47,7
1187,16,48,1
1188,16,51,1
1189,16,52,1
1190,16,53,3
1191,16,57,9
1192,16,60,1
1193,16,63,2
1194,16,64,2
1195,16,65,1
1196,16,66,9
1197,16,67,5
1198,16,68,1
1199,16,69,1
1200,16,70,3
1201,16,71,1
1202,16,73,1
1203,16,74,7
1204,16,75,3
1205,16,76,2
1206,16,77,5
1207,16,78,2
1208,16,79,3
1209,16,81,1
1210,16,82,1
1211,16,83,1
1212,16,84,1
1213,16,87,1
1214,16,89,3
1215,16,90,8
1216,16,91,4
1217,16,93,2
1218,16,94,1
1219,16,95,2
1220,16,96,1
1221,16,97,1
1222,16,98,1
1223,16,99,2
